alg,size,time
SEQ,10,0.000002
OMP,10,0.000011
CUDA,10,0.001361
SEQ,50,0.000085
OMP,50,0.000056
CUDA,50,0.000431
SEQ,150,0.003265
OMP,150,0.000838
CUDA,150,0.001272
SEQ,10,0.000002
OMP,10,0.000020
CUDA,10,0.000227
SEQ,50,0.000117
OMP,50,0.000068
CUDA,50,0.000609
SEQ,150,0.001702
OMP,150,0.000484
CUDA,150,0.000859
SEQ,10,0.000001
OMP,10,0.000025
CUDA,10,0.000202
SEQ,50,0.000151
OMP,50,0.000075
CUDA,50,0.000583
SEQ,150,0.001859
OMP,150,0.000531
CUDA,150,0.000824
SEQ,10,0.000002
OMP,10,0.000019
CUDA,10,0.000223
SEQ,50,0.000180
OMP,50,0.000085
CUDA,50,0.000657
SEQ,150,0.002379
OMP,150,0.000653
CUDA,150,0.001086
SEQ,10,0.000003
OMP,10,0.000031
CUDA,10,0.000298
SEQ,50,0.000163
OMP,50,0.000072
CUDA,50,0.000603
SEQ,150,0.002806
OMP,150,0.000648
CUDA,150,0.001084
